id,name,survey_year,type,hostelname,intake_capacity,students_residing
15438,"ANM Training Centre, Bhawanipatna",2015,Girls Hostel,ANM Kalahandi Girls Hostel,60,53
15659,Essen School of Nursing,2015,Girls Hostel,Esen Girls hostel,30,60
1894,KISAN DNANODAYA MANDAL'S INSTITUTE OF PHARMACY CHALISGAON JALGAON,2015,Boys Hostel,Boys hostel,30,10
1894,KISAN DNANODAYA MANDAL'S INSTITUTE OF PHARMACY CHALISGAON JALGAON,2015,Boys Hostel,Girls Hostel,30,10
15666,Sree Vidya Niketan College of Medical Science and Research,2015,Girls Hostel,svn girls hostel,36,150
15666,Sree Vidya Niketan College of Medical Science and Research,2015,Boys Hostel,svn boys hostel,4,10
10756,PRAVARA RURAL EDUCATION SOCIETY`S PRAVARA RURAL COLLEGE OF PHARMACY PRAVARANAGAR,2015,Boys Hostel,Polytechnic Boys Hostel,20,6
10756,PRAVARA RURAL EDUCATION SOCIETY`S PRAVARA RURAL COLLEGE OF PHARMACY PRAVARANAGAR,2015,Girls Hostel,PVP Girls Hostel,45,36
2149,SHRI DADASAHEB GAVAI CHARITABLE TRUST'S VIKRAMSHILA POLYTECHNICDARAPUR TQ. DARYAPUR DIST. AMRAVATI,2015,Boys Hostel,KIRTY TAI BOYS HOSTEL,100,45
2149,SHRI DADASAHEB GAVAI CHARITABLE TRUST'S VIKRAMSHILA POLYTECHNICDARAPUR TQ. DARYAPUR DIST. AMRAVATI,2015,Girls Hostel,KIRTY TAI GIRLS HOSTEL,80,25
15627,Royal School of Nursing,2015,Girls Hostel,Royal Girls Hostel-1,80,40
15436,"ANM Training Centre, Subarnapur",2015,Girls Hostel,Subarnapur ANM Girls Hostel,80,80
1875,K. J. SOMAIYA POLYTECHNIC MUMBAI,2015,Others,K.J. SOMAIYA POLYTECHNIC HOSTEL,333,333
1990,NDMVPS SAMAJ'S RAJARSHEE SHAHU MAHARAJ POLYTECHNIC NASHIK,2015,Girls Hostel,MVP's GIRLS hostel,30,22
1990,NDMVPS SAMAJ'S RAJARSHEE SHAHU MAHARAJ POLYTECHNIC NASHIK,2015,Boys Hostel,MVP's Boys hostel,40,25
15946,GNM TRAINING SCHOOL KHANERI,2015,Girls Hostel,GNM NURSING HOSTEL,30,116
15431,Mother Teresa Health Worker (Female) Training Centre,2015,Girls Hostel,MOTHER TERESA GIRLS HOSTEL,60,60
15544,Dibyajyoti School of Nursing,2015,Girls Hostel,Dibyajyoti GIRLS HOSTEL,50,50
15530,United Christian School of Nursing,2015,Girls Hostel,Untied Christian Nursing Girls Hostel,66,36
1739,DHULE CHARITABLE SOCIETY'S INSTITUTE OF PHARMACY DHULE,2015,Boys Hostel,Dhule Charitablr Society's Boy's Hostel,40,8
1739,DHULE CHARITABLE SOCIETY'S INSTITUTE OF PHARMACY DHULE,2015,Girls Hostel,W.K.B.S.M.Social Leader Late Kamlabai AJMERA,40,12
15664,S I E M S School of Nursing,2015,Girls Hostel,URMILA GIRLS HOSTEL,180,150
15664,S I E M S School of Nursing,2015,Boys Hostel,SANKARSHAN BOYS HOSTEL,15,10
15505,"School of Nursing, District Head Quarter Hospital",2015,Girls Hostel,GNMTC Kalahandi,180,102
3592,RAYALASEEMA SCHOOL OF NURSING KURNOOL-,2015,Girls Hostel,RAYALASEEMA SEEMA SCHOOL OF NURSING,150,85
3901,A E T SCHOOL OF NURSING MANDYA,2015,Girls Hostel,AET SCHOOL OF NURSING GIRLS HOSTEL,135,95
3466,BHAGYANAGAR SCHOOL OF NURSING HYDERABAD,2015,Girls Hostel,Bhagyanagar Nursing Hostel,40,120
14119,"SRI M.V. INSTITUTE OF NURSING, MANDYA",2015,Girls Hostel,Dr Sir M Vishweshwaraiah Nursing Hostel,40,25
1556,GOVT.POLYTECHNIC COLLEGE ASHOKNAGAR,2015,Girls Hostel,SC/ST GIRLS HOSTEL,50,25
15625,"ANM Training Centre, Boudh",2015,Girls Hostel,Anm Girls Hostel,80,65
15592,Kalinga Nursing School,2015,Girls Hostel,Kalinga Girls Hostel,22,22
1643,ABHAYSINHRAJE BHONSLE INSTITUTE OF TECHNOLOGY (POLYTECHNIC),2015,Girls Hostel,JIJAMATA LADIES HOSTEL,150,122
15657,"Surya School of Nursing,Odisha",2015,Girls Hostel,SSN Hostel,90,68
4862,JHARSUGUDA GNM TRAINING COLLEGE JHARSUGUDA,2015,Boys Hostel,Jhasuguda Boys Hostel,40,10
4862,JHARSUGUDA GNM TRAINING COLLEGE JHARSUGUDA,2015,Girls Hostel,Jhasuguda Girls Hostel,40,40
15441,"ANM Training Centre, Bhubaneswar",2015,Girls Hostel,Bbsr Hostel,50,48
15440,"ANM Training Centre, Puri",2015,Girls Hostel,Anm puri Girls Hostel,50,78
3945,B L S SCHOOL OF NURSING MANDYA,2015,Girls Hostel,BLS GIRLS HOSTEL,150,70
1796,GOVERNMENT POLYTECHNIC KARAD,2015,Girls Hostel,NEW GIRLS,60,60
1796,GOVERNMENT POLYTECHNIC KARAD,2015,Girls Hostel,GIRLS,120,120
1796,GOVERNMENT POLYTECHNIC KARAD,2015,Boys Hostel,NEW BOYS,60,60
1796,GOVERNMENT POLYTECHNIC KARAD,2015,Boys Hostel,BOYS,180,180
2238,VINAYAKRAO PATIL SHIKSHAN PRASARAK MANDAL INSTITUTE OF ENGINEERING & TECHNOLOGY KANNAD,2015,Girls Hostel,ietk,100,90
2238,VINAYAKRAO PATIL SHIKSHAN PRASARAK MANDAL INSTITUTE OF ENGINEERING & TECHNOLOGY KANNAD,2015,Boys Hostel,ietk,40,30
4873,NEELACHAL INSTITUTE OF NURSING SCHOOL,2015,Girls Hostel,NIMS LADIES HOSTEL,150,8
4873,NEELACHAL INSTITUTE OF NURSING SCHOOL,2015,Boys Hostel,NIMS BOYS HOSTEL,40,6
15943,Ramgovind Polytechnic Institute,2015,Boys Hostel,RPI BOYS HOSTEL,250,150
15943,Ramgovind Polytechnic Institute,2015,Girls Hostel,RPI GIRLS HOSTEL,50,38
3969,C N MUGALKHOD INSTITUTE OF NURSING BELGAUM,2015,Girls Hostel,C N MUGALKHOD INSTITUTE OF NURSING,150,60
15598,Maa Bauti ANM Training School,2015,Girls Hostel,INSTITUTIONAL HOSTEL,80,70
3310,M.S.D.POLYTECHNIC COLLEGE,2015,Boys Hostel,MAHATMA GANDHI SMARAK CHHATRAWAS,100,82
15681,"Sundargarh GNM Training College,Sudargarh, Odisha",2015,Girls Hostel,Institutional Hostel,95,80
1692,BALLARPUR SEVA SAMITIJAINUDDIN ZAWERI POLYTECHNIC DEWAI GOVINDPUR TUKUM CHANDRAPUR,2015,Boys Hostel,JAINUDDIN ZAWERI POLYTECHNIC BOYS HOSTEL,30,14
13082,"RIMS SCHOOL OF NURSING, ONGOLE, PRAKASAM",2015,Girls Hostel,Girls Hostel,60,145
13082,"RIMS SCHOOL OF NURSING, ONGOLE, PRAKASAM",2015,Boys Hostel,Boys Hostel,60,20
4789,PAD. DR. VITHALRAO VIKHE PATIL FOUNDATION PUNE,2015,Girls Hostel,PDVVPF's Girls Hostel,500,270
4789,PAD. DR. VITHALRAO VIKHE PATIL FOUNDATION PUNE,2015,Boys Hostel,PDVVPF's RMO Boys Hostel,500,50
15948,Bhagabati School of Nursing (G.N.M),2015,Girls Hostel,Bhagabati Girls Hostel,40,36
15948,Bhagabati School of Nursing (G.N.M),2015,Boys Hostel,Bhagabati Boys Hostel,10,4
1793,GOVERNMENT POLYTECHNIC JALGAON,2015,Girls Hostel,Girls Hostel(OLD),54,54
1793,GOVERNMENT POLYTECHNIC JALGAON,2015,Girls Hostel,Girls Hostel(NEW),126,120
1793,GOVERNMENT POLYTECHNIC JALGAON,2015,Boys Hostel,Boys Hostel(NEW),126,126
1793,GOVERNMENT POLYTECHNIC JALGAON,2015,Boys Hostel,Boys Hostel(OLD),180,180
454,RAMESH CHAND INSTITUTE OF MANAGEMENT(RCIM),2015,Boys Hostel,RCIM,45,0
15667,"Sri Sri Baroda School of Nursing , Odisha",2015,Girls Hostel,Boroda Girls Hostel,40,40
4252,SAMBHRAM INSTITUTE OF NURSING KOLAR,2015,Boys Hostel,Sambhram Boys Hostel,150,150
4252,SAMBHRAM INSTITUTE OF NURSING KOLAR,2015,Girls Hostel,Sambhram Ladies Hostel,200,150
5718,DISTRICT INSTITUTE OF EDUCATION & TRAINING BHOJPUR,2015,Others,DIET Bhojpur,0,150
12713,"DISTRICT INSTITUTE OF EDUCATION & TRAINING RAMBAGH, MUZAFFARPUR",2015,Girls Hostel,"DIET Muzaffarpur, Rambagh",50,0
4764,HOLY FAMILY INSTITUTE OF NURSING EDUCATION THANE,2015,Girls Hostel,HOLY FAMILY INSTITUTE OF NURSING EDUCATION,122,107
7563,"GOVERNMENT SANSKRIT TT, MAHAPURA",2015,Boys Hostel,GOVERNMENT HOSTEL,30,30
675,RAJIV GANDHI GOVT. POLYTECHNIC,2015,Boys Hostel,BOYS' HOSTEL,80,80
675,RAJIV GANDHI GOVT. POLYTECHNIC,2015,Girls Hostel,GIRLS' HOSTEL,100,100
12702,"DISTRICT INSTITUTE OF EDUCATION & TRAINING THAWAE, GOPALGANJ",2015,Boys Hostel,Radha Krishna Hostel,150,25
4748,EVANGELINE BOOTH HOSPITAL AHMEDNAGAR,2015,Girls Hostel,The Lady colville Hostel 1,40,40
4748,EVANGELINE BOOTH HOSPITAL AHMEDNAGAR,2015,Girls Hostel,The lady colville Hostel 2,50,40
12853,"BHAGWAN BUDDHA PRIMARY TEACHERS EDUCATION COLLEGE BAJRAHIYAN, SIWAN",2015,Others,Smt. Pukari Devi Hostels,100,45
4817,SCHOOL OF NURSING WADGAON PUNE,2015,Boys Hostel,cydpnursing boys hostel,20,12
4817,SCHOOL OF NURSING WADGAON PUNE,2015,Girls Hostel,cydpnursing girls hostel,100,85
13152,"SRI KRISHNA CHAITANYA SCHOOL OF NURSING, PRASANTHNAGAR, CHITTOOR",2015,Girls Hostel,Girls hostel,100,70
8665,DISTRICT INSTITUTE OF EDUCATION & TRAINING GHAZIPUR,2015,Boys Hostel,DIET HOSTEL,50,4
10808,SHRI VITHAL EDUCATION & RESEARCH INSTITUTE`S COLLEGE OF PHARMACY(POLY ) PANDHARPUR,2015,Girls Hostel,SVERI's Girls Hostel,20,20
10808,SHRI VITHAL EDUCATION & RESEARCH INSTITUTE`S COLLEGE OF PHARMACY(POLY ) PANDHARPUR,2015,Boys Hostel,SVERI's Boys Hostel,20,20
14568,"TRINITY POLYTECHNIC PUNE, MAHARASHTRA",2015,Boys Hostel,"KJ's Boys Hostel, Pune",100,7
11104,PRANAM PRIMARY TEACHERS TRAINING COLLEGE SARKHEJ,2015,Others,PRANAM PTC COLLEGE HOSTEL,100,0
3800,SHRI RAJIBEN GANDALAL GENERAL NURSING SCHOOL MEHSANA,2015,Girls Hostel,SHREE HANSABEN JAYANTILAL PATEL NURSING HOSTEL,200,135
14004,"ANM SCHOOL, CIVIL HOSPITAL, DAHOD",2015,Girls Hostel,"ANM Hostel, General Hospital",20,19
3652,ST ANN'S HOSPITAL SCHOOL OF NURSING KRISHNA,2015,Girls Hostel,St. Ann's Hostel,180,159
3790,"SCHOOL OF NURSING(GNM), CIVIL HOSPITA, DAHOD",2015,Girls Hostel,Hostel for Nurses General Hospital Dahod,30,110
5934,RIDDHI EDUCATION TRUST SABARKANTHA,2015,Others,RIDDHI HOSTEL,50,50
10165,TRIMURTI PAWAN PRATISHTHAN SHEVGAON AHMEDNAGAR,2015,Girls Hostel,trimurti gir's hostel,200,0
10165,TRIMURTI PAWAN PRATISHTHAN SHEVGAON AHMEDNAGAR,2015,Girls Hostel,trimurti boy's hostel,200,0
3743,PANNA DAI SCHOOL OF NURSING NEW DELHI,2015,Girls Hostel,"Nurse's Hostel, Deen Dayal Upadhyay Hospital, Hari Nagar, New Delhi-64",30,120
3612,SEVEN HILLS HOSPITAL SCHOOL OF NURSING VISAKHAPATNAM,2015,Girls Hostel,sevenhills hospital,300,240
12084,"CARAMEL D.ED COLLEGE, BIDAR",2015,Girls Hostel,CARMEL D.ED HOSTEL,60,18
6593,ROYALE CONCORDE TEACHER TRAINING INSTITUTE BANASHANKARI BANGALORE,2015,Boys Hostel,Bangalore City boys hostel,50,3
6593,ROYALE CONCORDE TEACHER TRAINING INSTITUTE BANASHANKARI BANGALORE,2015,Girls Hostel,Bangalore city Girls Hostel,50,4
14596,"GURUKUL D.T.ED.COLLEGE, BEED",2015,Girls Hostel,"Gurukul Hostel,Beed",70,70
2140,SHREE VITTHAL EDU. AND RESEARCH INSTITUTE COLLEGE OF ENGINEERING (POLYTECHNIC) GOPALPUR PANDHARPUR,2015,Girls Hostel,COE(POLY) PANDHARPUR,500,400
2140,SHREE VITTHAL EDU. AND RESEARCH INSTITUTE COLLEGE OF ENGINEERING (POLYTECHNIC) GOPALPUR PANDHARPUR,2015,Boys Hostel,COE(POLY) PANDHARPUR,500,450
1728,D.Y.PATIL EDUCATION SOCIETYD.Y. PATIL POLYTECHNICTALSANDE TAL- HATKANAGALE KOLHAPUR,2015,Girls Hostel,D. Y. PATIL GIRLS HOSTEL,255,15
1728,D.Y.PATIL EDUCATION SOCIETYD.Y. PATIL POLYTECHNICTALSANDE TAL- HATKANAGALE KOLHAPUR,2015,Boys Hostel,D. Y. PATIL BOYS HOSTEL,400,35
1726,D. Y. PATIL EDUCATIONAL SOCITY'S D.Y. PATIL COLLEGE OF ENGINEERING & POLYTECHNIC KOLHAPUR,2015,Girls Hostel,D.Y.PATIL GIRLS HOSTE,255,25
1726,D. Y. PATIL EDUCATIONAL SOCITY'S D.Y. PATIL COLLEGE OF ENGINEERING & POLYTECHNIC KOLHAPUR,2015,Boys Hostel,D.Y.PATIL BOYS HOSTEL,400,70
3648,SRI VENKATESWARA SCHOOL OF NURSING VISAKHAPATNAM,2015,Girls Hostel,sri venkatewara hostel,150,120
3777,"SCHOOL OF NURSING(GNM), M G S HOSPITAL, SURENDRANAGAR",2015,Girls Hostel,Nursing Hostel,60,74
2753,BHARATH POLYTECHNIC COLLEGE THIRVANCHERRY,2015,Boys Hostel,BHARATH HOSTEL,150,40
2753,BHARATH POLYTECHNIC COLLEGE THIRVANCHERRY,2015,Girls Hostel,BHARATH HOSTEL,140,60
8545,V.J.P TEACHER TRAINIING INSTITUTION SIRUGANUR,2015,Girls Hostel,V.J.P HOSTEL,100,12
14026,"Mahatma Gandhi SON, Junagadh",2015,Girls Hostel,Mahatma Gandhi Nursing Hostel,70,70
11088,NAVDEEP PTC COLLEGE DOLTABAD,2015,Boys Hostel,SHARDA VIDHYAPITH,100,75
5782,"BAPA SITARAM PTC COLLEGE, RAJULA",2015,Girls Hostel,BAPA SITARAM,50,0
5782,"BAPA SITARAM PTC COLLEGE, RAJULA",2015,Boys Hostel,BAPA SITARAM,50,0
5837,GOVT TRAINING COLLEGE FOR MAN SABARKANTHA,2015,Boys Hostel,New hostel,72,70
5837,GOVT TRAINING COLLEGE FOR MAN SABARKANTHA,2015,Boys Hostel,Old hostel,66,0
9658,NAVAL BHAU PRATISHTHANS AMALNER JALGAON,2015,Girls Hostel,NBPs GIRLs HOSTEL AMALNER,50,0
9658,NAVAL BHAU PRATISHTHANS AMALNER JALGAON,2015,Boys Hostel,NBPs BOYs HOSTEL AMALNER,50,0
3535,LAXMI SCHOOL OF NURSING VIZIANAGARAM,2015,Girls Hostel,LAKSHMI SCHOOL OF NURSING,240,175
6040,SHRI G.G.MEHTASTREE ADHYAPAN MANDIR BANSKANTHA,2015,Girls Hostel,"STRI ADHYAPAN MANDIR, CHITRASANI",200,29
4090,KARNATAKA HEALTH INSTITUTE SCH OF NSG. BELGAUM,2015,Girls Hostel,KHI GIRLS HOSTEL 1,100,65
4090,KARNATAKA HEALTH INSTITUTE SCH OF NSG. BELGAUM,2015,Girls Hostel,KHI GIRLS HOSTEL -2,100,73
3787,SANCHALIT NURSING SCHOOL AMRELI,2015,Girls Hostel,BHAGINI CHHATRALAY,150,105
4230,REV NOORUNISSA SCHOOL OF NURSING KOLAR,2015,Boys Hostel,Rev.Noorunnissa Boys Hostel,50,13
4230,REV NOORUNISSA SCHOOL OF NURSING KOLAR,2015,Girls Hostel,Rev.Noorunnissa Ladies Hostel,150,50
9332,INDRABHAGYA KRISHI VA GRAMIN VIKASH SANSTHA DIGHANCHI SANGLI,2015,Girls Hostel,Gauri Girls Hostel,25,0
9332,INDRABHAGYA KRISHI VA GRAMIN VIKASH SANSTHA DIGHANCHI SANGLI,2015,Boys Hostel,Girish Boys Hostel,25,0
2047,S. D. PATIL INSTITUTE OF PHARMACY URUN-ISLAMPUR,2015,Girls Hostel,Malti Vasantdada Patil Girls hostel,60,15
10933,NIBEDITA INSTITUTE OF TECHNOLOGY MURSHIDABAD,2015,Girls Hostel,NIT HOSTEL(GIRLS),50,15
10933,NIBEDITA INSTITUTE OF TECHNOLOGY MURSHIDABAD,2015,Boys Hostel,NIT 3rd YEAR HOSTEL(BOYS),150,125
10933,NIBEDITA INSTITUTE OF TECHNOLOGY MURSHIDABAD,2015,Boys Hostel,NIT 2nd YEAR HOSTEL(BOYS),150,157
10933,NIBEDITA INSTITUTE OF TECHNOLOGY MURSHIDABAD,2015,Boys Hostel,NIT 1st YEAR HOSTEL(BOYS),150,58
11023,EAKTA PTC COLLEGE NAVI METRAL,2015,Boys Hostel,EKTA BOYS HOSTEL,200,2
11023,EAKTA PTC COLLEGE NAVI METRAL,2015,Girls Hostel,EKTA GIRLS HOSTEL,200,15
