id,college_name,survey_year,name,hostel_type,intake_capacity,students_residing
46142,"RAJ KUMAR GOEL ENGINEERING COLLEGE, PILKHUWA, GHAZIABAD",2015,Boys Hostel 1,Boys Hostel,300,98
46392,"RISHI CHADHA VISVAS GIRLS INSTITUTE OF TECHNOLOGY FOR WOMEN, GHAZIABAD",2015,RCVIGT,Girls Hostel,150,26
40587,Vijayanagar Institute of Medical Sciences,2015,Adarsha (15th Block),Girls Hostel,64,64
40587,Vijayanagar Institute of Medical Sciences,2015,Lalitha Vasathi Gruha (LVG),Girls Hostel,122,122
40587,Vijayanagar Institute of Medical Sciences,2015,Sanjivini (19th Block),Boys Hostel,152,117
40587,Vijayanagar Institute of Medical Sciences,2015,Sushrutha (20th Block),Boys Hostel,30,0
40587,Vijayanagar Institute of Medical Sciences,2015,16th Block (Dental),Boys Hostel,32,31
20744,"Bangalore City College,No.116, Cellakere Mainr Road, Banasawadi, Outer Ring Road, Kalayananagar Post, Bangalore-43",2015,Girls Hostel,Girls Hostel,300,78
20744,"Bangalore City College,No.116, Cellakere Mainr Road, Banasawadi, Outer Ring Road, Kalayananagar Post, Bangalore-43",2015,Boys Hostel,Boys Hostel,200,120
45400,"S R T COLLEGE, GODDA",2015,WELFARE HOSTEL,Boys Hostel,50,0
33323,Faculty of Agricultural Engineering,2015,"Boys Hostel, Faculty of Agricultural Engineering",Boys Hostel,30,30
46775,"KIPM COLLEGE OF MANAGEMENT, GORAKHPUR",2015,KIPM BOYS HOSTEL,Boys Hostel,60,1
30767,"Pt. B.D.Sharma , PGIMS , Rohtak",2015,Boys' Hostel,Boys Hostel,720,555
8731,M.M. Dental College,2015,MMDCH BOYS HOSTEL,Boys Hostel,104,104
55534,YASHVANTRAO CHAVAN AYURVEDIC MEDICAL COLLEGE BEED ROAD AURANGABAD,2015,yashwanrao chavan ayurvedic medical college boys hostel,Boys Hostel,50,12
55534,YASHVANTRAO CHAVAN AYURVEDIC MEDICAL COLLEGE BEED ROAD AURANGABAD,2015,yashwanrao chavan ayurvedic medical college girls hostel,Girls Hostel,50,28
44206,Bhartiya Gramin Punarachana Sanstha's B.Ed. Woken's College,2015,Gupta Ladies Hostel,Girls Hostel,100,0
55617,NIMT INSTITUTE OF MEDICAL & PARAMEDICAL SCIENCES,2015,Hostel Block A,Boys Hostel,200,150
7154,Graduate Basic Training College,2015,B.Ed. Basic Boys Hostel,Boys Hostel,25,14
22,"VEERAYATAN INSTITUTE OF PHARMACY, JAKHANIA 267",2015,Boys Hostel First Floor,Boys Hostel,96,0
22,"VEERAYATAN INSTITUTE OF PHARMACY, JAKHANIA 267",2015,Dormitory,Boys Hostel,20,0
22,"VEERAYATAN INSTITUTE OF PHARMACY, JAKHANIA 267",2015,TR Hostel,Boys Hostel,120,0
22,"VEERAYATAN INSTITUTE OF PHARMACY, JAKHANIA 267",2015,TV Hostel,Girls Hostel,60,6
22,"VEERAYATAN INSTITUTE OF PHARMACY, JAKHANIA 267",2015,Boys hostel -2,Boys Hostel,240,0
1039,C.U.SHAH MEDICAL COLLEGE -SURENDRANAGAR,2015,HOSTEL-5,Girls Hostel,108,102
1039,C.U.SHAH MEDICAL COLLEGE -SURENDRANAGAR,2015,HOSTEL-6,Girls Hostel,17,17
1039,C.U.SHAH MEDICAL COLLEGE -SURENDRANAGAR,2015,HOSTEL-2,Girls Hostel,141,136
1039,C.U.SHAH MEDICAL COLLEGE -SURENDRANAGAR,2015,HOSTEL - 1 - Internees,Girls Hostel,147,112
47252,"SHRI BHIKHABHAI PATEL INSTITUTE OF P G STUDIES AND RESEARCH IN HUMANITIES, ANAND",2015,Girls Hostel,Girls Hostel,120,36
6662,NORTH GUJRAT EDUCATION TRUST SANCHALIT PGDCA COLL,2015,NGES GIRLS HOSTEL,Girls Hostel,85,80
81,Parul Institute of Diploma Studies 638,2015,Shanti Sadan 'C',Boys Hostel,168,168
81,Parul Institute of Diploma Studies 638,2015,PGDM,Boys Hostel,100,100
81,Parul Institute of Diploma Studies 638,2015,Super Delux Flat 'B',Boys Hostel,144,144
81,Parul Institute of Diploma Studies 638,2015,Super Delux Flat 'D',Boys Hostel,144,144
81,Parul Institute of Diploma Studies 638,2015,Super Delux Flat 'B',Girls Hostel,151,151
81,Parul Institute of Diploma Studies 638,2015,Old NRI,Boys Hostel,185,185
81,Parul Institute of Diploma Studies 638,2015,Shanti Sadan 'A',Boys Hostel,168,168
81,Parul Institute of Diploma Studies 638,2015,Shanti Sadan 'B',Boys Hostel,224,224
47251,"Shantaben Manubhai Patel Institute Architecture and Interior Design, Vallabh Vidyanagar",2015,ADIT Girl's Hostel Block 1,Girls Hostel,100,30
7189,Shree J.C. Kumarappa Mahavidyalaya,2015,Sahyog Hostel,Boys Hostel,240,165
15745,SKN SINHAGAD COLLEG OF ENGINEERING KORTI TAL PANDHARPUR DIST-SOLAPUR,2015,Sinhgad Boy's Hostel,Boys Hostel,500,500
47442,"SHRI SARVAJANIK MSCCA AND IT COLLEGE, MEHSANA",2015,shri sarvajanik girls hostel,Girls Hostel,80,0
621,The Mandvi Education Society B. B. A. College,2015,The Mandvi Education Society Hostel,Boys Hostel,30,10
